Category,Description,Категория,Ингредиенты,Описание,"Килокалории, kcal ","Белки","Углеводы","Жиры","Зола","Влага","Клетчатка","Холестерин, mg","Марганец, mg","Селен, mkg","Сахар общее","Тиамин, mg","Major Minerals.Calcium, mg","Major Minerals.Copper, mg","Major Minerals.Iron, mg","Major Minerals.Magnesium, mg","Major Minerals.Phosphorus, mg","Major Minerals.Potassium, mg","Major Minerals.Sodium, mg","Major Minerals.Zinc, mg","Vitamin A - IU, mkg","Vitamin A - RAE, mkg","Vitamin B12, mkg","Vitamin B6, mkg","Vitamin C, mkg","Vitamin E, mkg","Vitamin K, mkg"
OATS,OATS,Крупы,Овес,Обыкновенный,389,16.89,66.27,6.9,1.72,8.22,10.60000038,0,4.916,0.0,0.0,0.763,54,0.626,4.72,177,523,429,2,3.97,0,0,0.0,0.119,0.0,01.09,0.0																					
BARLEY,"BARLEY,PEARLED,RAW",Крупы,Перловка,Обыкновенный,352,9.91,77.72,1.16,1.11,10.09,15.60000038,0,1.322,37.7,0.800000012,0.191,29,0.42,2.5,79,221,280,9,2.13,22,1,0.0,0.26,0.0,0.02,2.2
SUNFLOWER SD KRNLS,"SUNFLOWER SD KRNLS,DRIED",Крупы,Семена,Подсолнечника,584,20.78,20.0,51.46,3.02,4.73,8.600000381,0,1.95,53.0,2.619999886,1.48,78,1.8,5.25,325,660,645,9,5.0,50,3,0.0,1.345,1.4,33.23,0.0
PUMPKIN&SQUASH SD KRNLS,"PUMPKIN&SQUASH SD KRNLS,DRIED",Крупы,Семена,Тыквы и кабочка,541,24.54,17.81,45.85,4.88,6.92,3.900000095,0,3.021,5.6,1.0,0.21,43,1.387,14.97,535,1174,807,18,7.46,380,19,0.0,0.224,1.9,0.0,51.4
SOYBEANS,"SOYBEANS,GREEN,RAW",Крупы,Соевые Бобы,Обыкновенный,147,12.95,11.05,6.8,1.7,67.5,4.199999809,0,0.547,1.5,0.0,0.435,197,0.128,3.55,65,194,620,15,0.99,180,9,0.0,0.065,29.0,0.0,0.0
LENTILS,"LENTILS,RAW",Крупы,Чечевица,Обыкновенный,353,25.8,60.08,1.06,2.67,10.4,30.5,0,1.33,8.3,2.029999971,0.873,56,0.519,7.54,122,451,955,6,4.78,39,2,0.0,0.54,4.4,0.49,5.0
FAT,"FAT,MUTTON TALLOW",Масло и жир,Животный Жир,Бараний,902,0.0,0.0,100.0,0.0,0.0,0.0,102,0.0,0.2,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2.8,0.0
FAT,"FAT,BEEF TALLOW",Масло и жир,Животный Жир,Говяжий,902,0.0,0.0,100.0,0.0,0.0,0.0,109,0.0,0.2,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2.7,0.0
FAT,"FAT,GOOSE",Масло и жир,Животный Жир,Гусиный,900,0.0,0.0,99.8,0.0,0.2,0.0,100,0.0,0.2,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2.7,0.0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,FAT,RAW",Масло и жир,Животный Жир,Куринный,629,3.73,0.0,67.95,0.28,28.91,0.0,58,0.014,9.7,0.0,0.021,7,0.029,0.7,6,54,64,32,0.45,509,130,0.07,0.02,0.0,2.73,2.4																					
BUTTER,"BUTTER,WITHOUT SALT",Масло и жир,Масло,Сливочное,717,0.85,0.06,81.11,0.04,17.94,0.0,215,0.004,1.0,0.059999999,0.005,24,0.016,0.02,2,24,24,11,0.09,2499,684,0.17,0.003,0.0,2.32,7.0
OIL,"OIL,OLIVE,SALAD OR COOKING",Масло и жир,Растительное Масло,Оливковое,884,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.56,0,0,1,2,0.0,0,0,0.0,0.0,0.0,14.35,60.2
OIL,"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)",Масло и жир,Растительное Масло,"Подсолнечное, Линолевое (Около 65%)",884,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,41.08,5.4
OIL,"OIL,SOYBN,SALAD OR COOKING",Масло и жир,Растительное Масло,Соевое,884,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.05,0,0,0,0,0.01,0,0,0.0,0.0,0.0,8.18,183.9
VEGETABLE,"OIL	VEGETABLE OIL,COCONUT",Масло и жир,Растительное Масло,Кокосовое,862,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.04,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.09,0.5																					
FISH OIL,"FISH OIL,COD LIVER",Масло и жир,Рыбий Жир,Печень Трески,902,0.0,0.0,100.0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,100000,30000,0.0,0.0,0.0,0.0,0.0
BEEF,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",Мясо,Говядина,Грудинка,155,20.72,0.0,7.37,1.02,70.29,0.0,62,0.014,16.4,0.0,0.1,5,0.08,1.92,23,201,330,79,4.31,0,0,2.43,0.42,0.0,0.32,1.3
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Говядина,Лёгкие,92,16.2,0.0,2.5,0.98,79.38,0.0,242,0.019,44.3,0.0,0.047,10,0.26,7.95,14,224,340,198,1.61,46,14,3.81,0.04,38.5,0.0,0.0
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Говядина,Печень,135,20.36,3.89,3.63,1.31,70.81,0.0,275,0.31,39.7,0.0,0.189,5,9.755,4.9,18,387,313,69,4.0,16898,4968,59.3,1.083,1.3,0.38,3.1
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Говядина,Почки,103,17.4,0.29,3.09,1.33,77.89,0.0,411,0.142,141.0,0.0,0.357,13,0.426,4.6,17,257,262,182,1.92,1397,419,27.5,0.665,9.4,0.22,0.0
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Говядина,Сердце,112,17.72,0.14,3.94,1.1,77.11,0.0,124,0.035,21.8,0.0,0.238,7,0.396,4.31,21,212,287,98,1.7,0,0,8.55,0.279,2.0,0.22,0.0
